pid,team,name,number,pos,b_t,wt,ht,born,debut,edu,nationality,original_name,draft
0000004646,樂天桃猿二軍,翁瑋均,20,投手,右投左打,188,85,1998/11/29,2019/03/31,南華大學,中華民國,翁绍恩,Lamigo桃猿2018年第一輪
0000006240,樂天桃猿二軍,馬傑森,94,游擊手,右投右打,180,80,2002/05/15,2020/10/17,普門高中,中華民國,,樂天桃猿2020年第一輪
0000000151,樂天桃猿二軍,*張明翔,49,投手,右投左打,183,85,1996/10/04,2016/10/09,平鎮高中,中華民國,,Lamigo桃猿2015年第九輪
0000006715,樂天桃猿二軍,*張梓軒,84,投手,左投左打,191,88,1999/03/30,,文化大學,中華民國,,樂天桃猿2021年第七輪
0000005511,樂天桃猿二軍,張喜凱,16,投手,右投右打,180,70,1998/10/29,2020/10/04,文化大學,中華民國,,Lamigo桃猿2019年第五輪
0000002282,樂天桃猿,張閔勛,28,捕手,右投右打,177,80,1994/08/08,2016/07/14,文化大學,中華民國,,Lamigo桃猿2016年第一輪
0000000132,樂天桃猿,梁家榮,5,三壘手,右投左打,180,90,1995/03/25,2013/10/15,高苑工商,中華民國,,Lamigo桃猿2013年第一輪
0000005509,樂天桃猿二軍,莊昕諺,77,投手,右投右打,181,91,2000/10/19,2020/10/18,南英商工,中華民國,,Lamigo桃猿2019年第六輪
0000003631,樂天桃猿二軍,許禹壕,47,捕手,右投右打,178,79,1994/11/29,2018/10/12,美和高中,中華民國,,Lamigo桃猿2013年第八輪
0000005285,樂天桃猿,許峻暘,34,投手,右投左打,181,73,1998/03/23,2021/10/13,開南大學,中華民國,,樂天桃猿2020年第三輪
0000003174,樂天桃猿,郭永維,7,游擊手,右投右打,175,75,1988/04/13,2011/03/20,嘉藥大學,中華民國,郭修維,
0000003343,樂天桃猿,郭嚴文,21,二壘手,右投左打,179,86,1988/10/25,2011/04/02,國立體大,中華民國,,Lamigo桃猿2010年第一輪
0000004624,樂天桃猿二軍,*陳克羿,40,投手,右投左打,185,74,1999/10/27,,南英商工,中華民國,,Lamigo桃猿2018年第五輪
0000003609,樂天桃猿,陳俊秀,29,一壘手,右投右打,183,97,1988/11/01,2014/07/30,國立體大,中華民國,,Lamigo桃猿2014年第一輪
0000000941,樂天桃猿,陳冠宇,12,投手,左投左打,178,80,1990/10/29,2021/08/24,,中華民國,,樂天桃猿2021年第一輪
0000000135,樂天桃猿,陳禹勳,0,投手,右投右打,182,83,1989/05/20,2014/03/23,臺北體院,中華民國,,Lamigo桃猿2013年第一輪
0000004633,樂天桃猿,陳晨威,98,中外野手,右投左打,180,72,1997/12/12,2018/10/09,大同學院,中華民國,,Lamigo桃猿2018年第二輪
0000003608,樂天桃猿二軍,曾仁和,37,投手,右投左打,186,91,1994/10/03,2021/09/16,國立體大,中華民國,,樂天桃猿2021年第三輪
0000002273,樂天桃猿二軍,*曾琦,23,投手,右投右打,188,88,1997/01/23,,國立體大,中華民國,,Lamigo桃猿2019年第四輪
0000001617,樂天桃猿,游朝惟,17,投手,右投右打,174,72,1993/04/16,2019/04/14,臺灣體大,中華民國,,
0000003660,樂天桃猿二軍,陽耀勳,1,右外野手,左投左打,178,90,1983/01/22,2015/09/02,文化大學,中華民國,,
0000001286,樂天桃猿,馮健庭,45,二壘手,右投右打,180,85,1992/01/05,2016/08/25,國立體大,中華民國,,Lamigo桃猿2016年第五輪
0000002274,樂天桃猿,黃子鵬,69,投手,右投左打,183,80,1994/03/19,2018/05/09,文化大學,中華民國,,Lamigo桃猿2017年第七輪
0000003616,樂天桃猿,黃偉晟,4,投手,右投右打,180,95,1990/03/06,2013/03/24,國立體大,中華民國,,義大犀牛2012年第三輪
0000000161,樂天桃猿二軍,黃敬瑋,82,中外野手,右投左打,176,78,1994/12/21,2018/04/10,文化大學,中華民國,,Lamigo桃猿2017年第八輪
0000006721,樂天桃猿二軍,*楊家勝,71,三壘手,右投左打,175,75,1998/06/11,,臺灣體大,中華民國,,樂天桃猿2021年第八輪
0000002287,樂天桃猿二軍,*楊聖均,25,一壘手,右投右打,173,96,1993/09/19,2016/07/14,國立體大,中華民國,楊岱均,Lamigo桃猿2016年第二輪
0000000160,樂天桃猿二軍,萬昭清,68,投手,右投右打,178,68,1999/01/18,2020/09/18,穀保家商,中華民國,,Lamigo桃猿2017年第四輪
0000000152,樂天桃猿二軍,葉家淇,26,投手,左投左打,179,71,1997/05/23,2015/10/10,平鎮高中,中華民國,葉文淇,Lamigo桃猿2015年第三輪
